Team,Age,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,Unnamed: 17_level_1,eFG%,TOV%,ORB%,FT/FGA,Unnamed: 22_level_1,eFG%,TOV%,DRB%,FT/FGA,Unnamed: 27_level_1,Arena,Attend.,Attend./G
Oklahoma City Thunder,25.1,19,1,17,3,15.85,-3.48,12.37,120.2,104.6,+15.6,99.5,.282,.424,.607,,.564,11.3,22.4,.238,,.506,15.8,75.9,.213,,Paycom Center,182030,18203
Houston Rockets,26.3,12,4,13,3,10.69,1.05,11.74,123.6,112.7,+10.9,96.1,.289,.337,.586,,.548,13.0,38.5,.226,,.532,12.9,73.5,.196,,Toyota Center,126438,18063
Denver Nuggets,28.2,14,5,14,5,9.74,-1.36,8.37,125.7,115.9,+9.8,98.7,.296,.390,.629,,.587,12.5,29.0,.247,,.525,10.8,74.5,.215,,Ball Arena,178776,19864
New York Knicks,28.6,12,6,12,6,6.67,-0.88,5.79,121.5,114.8,+6.7,99.3,.260,.448,.591,,.554,11.6,29.8,.209,,.558,13.8,78.2,.223,,Madison Square Garden (IV),198120,19812
San Antonio Spurs,25.8,13,5,12,6,6.28,-0.37,5.91,119.2,112.9,+6.3,99.5,.299,.418,.605,,.564,13.4,27.9,.241,,.534,13.1,76.3,.205,,Frost Bank Center,186417,18642
Toronto Raptors,25.0,14,6,13,7,6.00,-2.14,3.86,117.8,111.9,+5.9,100.2,.286,.360,.596,,.559,12.4,24.5,.223,,.527,14.1,74.7,.253,,Scotiabank Arena,164438,18271
Detroit Pistons,26.0,16,4,13,7,5.80,-1.14,4.67,117.8,112.1,+5.7,101.1,.316,.350,.587,,.551,13.5,30.9,.236,,.523,14.7,73.4,.272,,Little Caesars Arena,193226,19205
Orlando Magic,24.7,12,8,13,7,5.20,0.88,6.08,118.2,113.0,+5.2,100.4,.351,.375,.592,,.541,12.8,28.2,.284,,.539,13.7,75.6,.226,,Kia Center,184109,18411
Miami Heat,26.6,13,7,13,7,5.35,1.20,6.55,116.5,111.5,+5.0,105.5,.286,.380,.590,,.551,12.2,23.3,.227,,.511,13.1,71.1,.198,,Kaseya Center,215600,19600
Minnesota Timberwolves,28.3,11,8,12,7,4.63,-1.83,2.80,117.8,113.2,+4.6,100.3,.308,.426,.600,,.564,13.4,26.0,.234,,.527,13.3,72.7,.232,,Target Center,152802,16978
Boston Celtics,26.9,10,9,12,7,4.11,-0.26,3.85,119.5,115.2,+4.3,96.0,.203,.467,.570,,.543,10.2,29.1,.157,,.521,13.3,71.4,.261,,TD Garden,191560,19156
Los Angeles Lakers,26.9,14,4,11,7,3.83,-1.07,2.77,119.4,115.5,+3.9,99.6,.348,.396,.626,,.584,14.7,24.9,.276,,.556,14.1,74.3,.209,,Crypto.com Arena,150970,18871
Cleveland Cavaliers,26.8,12,8,12,8,3.45,0.25,3.70,116.5,113.1,+3.4,101.6,.278,.486,.581,,.546,12.5,26.1,.211,,.537,14.3,73.9,.235,,Rocket Arena,213752,19432
Phoenix Suns,27.5,12,9,12,9,2.71,-0.65,2.07,117.3,114.6,+2.7,98.9,.249,.448,.586,,.551,14.1,30.4,.199,,.544,14.8,72.3,.234,,Mortgage Matchup Center,204852,17071
Atlanta Hawks,24.7,12,8,11,9,2.05,-0.70,1.35,116.2,114.2,+2.0,101.3,.256,.416,.599,,.567,13.2,22.7,.199,,.540,14.3,71.9,.219,,State Farm Arena,134553,16819
Golden State Warriors,29.4,11,10,11,10,0.95,0.42,1.37,114.1,113.2,+0.9,99.9,.276,.506,.585,,.542,14.2,25.3,.228,,.531,14.1,72.3,.214,,Chase Center,162576,18064
Philadelphia 76ers,25.3,10,8,9,9,-0.28,0.15,-0.12,116.2,116.5,-0.3,99.8,.282,.406,.581,,.539,12.8,27.3,.228,,.542,12.1,73.2,.204,,Xfinity Mobile Arena,188940,18894
Milwaukee Bucks,27.6,9,12,9,12,-2.19,-0.30,-2.49,115.1,117.3,-2.2,99.4,.231,.435,.602,,.581,13.1,19.7,.163,,.551,13.1,74.2,.252,,Fiserv Forum,205031,17086
Portland Trail Blazers,25.6,8,11,8,11,-2.63,2.30,-0.33,115.4,118.0,-2.6,102.0,.295,.450,.562,,.518,13.8,32.5,.234,,.554,13.9,71.2,.248,,Moda Center,141893,17737
Chicago Bulls,25.8,9,10,8,11,-3.11,-0.09,-3.20,115.0,117.9,-2.9,103.2,.265,.424,.588,,.552,12.9,22.9,.209,,.537,10.5,74.0,.211,,United Center,162125,20266
,,,,,,,,,,,,,,,,,Offense Four Factors,Offense Four Factors,Offense Four Factors,Offense Four Factors,,Defense Four Factors,Defense Four Factors,Defense Four Factors,Defense Four Factors,,,,
Team,Age,W,L,PW,PL,MOV,SOS,SRS,,,NRtg,,FTr,3PAr,TS%,,eFG%,TOV%,ORB%,FT/FGA,,eFG%,TOV%,DRB%,FT/FGA,,Arena,Attend.,Attend./G
