Team,Pace,ORtg,DRtg,Off_eFG,Off_TOV,Off_ORB,Off_3PAr,Net_Rtg,Off_FT_Rate,Opp_3P_Pct,Opp_TRB,Home,Road,Last_10,Streak,Top_Stars,Is_B2B
Atlanta Hawks,102.2,114.2,115.3,0.553,12.6,22.2,0.428,-1.1,0.178,0.356,46.7,9-14,15-13,4-6,L2,"Jalen Johnson, Nickeil Alexander-Walker",True
Boston Celtics,95.5,121.2,114.4,0.555,10.8,29.0,0.465,6.8,0.164,0.363,42.3,16-8,15-10,7-3,W2,"Jaylen Brown, Derrick White",False
Brooklyn Nets,96.0,111.5,118.3,0.526,13.7,25.0,0.477,-6.8,0.213,0.382,43.0,6-17,7-18,2-8,L1,"Michael Porter Jr., Cam Thomas",False
Charlotte Hornets,97.9,118.0,116.3,0.55,13.7,29.5,0.46,1.7,0.208,0.367,39.7,10-13,12-15,8-2,W6,"Brandon Miller, LaMelo Ball",True
Chicago Bulls,101.6,115.4,117.3,0.558,12.6,22.8,0.437,-1.9,0.187,0.367,44.8,15-11,9-15,5-5,L1,"Josh Giddey, Coby White",True
Cleveland Cavaliers,101.0,117.4,114.7,0.552,12.5,27.1,0.45,2.7,0.194,0.377,44.1,17-11,13-10,8-2,W1,"Donovan Mitchell, Darius Garland",False
Dallas Mavericks,101.7,111.0,113.4,0.533,13.0,22.7,0.357,-2.4,0.209,0.336,46.9,14-14,5-15,5-5,L4,"Anthony Davis, Cooper Flagg",True
Denver Nuggets,97.4,122.2,117.7,0.576,11.4,23.1,0.401,4.5,0.236,0.348,43.2,14-10,19-7,6-4,L1,"Nikola Jokić, Jamal Murray",False
Detroit Pistons,100.1,116.4,109.8,0.54,13.4,30.8,0.354,6.6,0.225,0.349,41.4,19-5,16-7,8-2,W2,"Cade Cunningham, Jalen Duren",False
Golden State Warriors,100.3,115.8,113.2,0.552,13.6,24.9,0.503,2.6,0.203,0.354,44.9,17-8,10-15,6-4,L1,"Stephen Curry, Jimmy Butler",False
Houston Rockets,96.1,118.8,112.7,0.536,13.1,36.4,0.336,6.1,0.201,0.345,39.4,17-4,13-13,7-3,W2,"Kevin Durant, Alperen Şengün",True
Indiana Pacers,100.9,109.3,116.9,0.515,12.6,23.1,0.408,-7.6,0.206,0.345,46.9,10-16,3-20,5-5,W2,"Pascal Siakam, Andrew Nembhard",True
Los Angeles Clippers,95.9,116.7,117.0,0.555,13.8,23.9,0.433,-0.3,0.247,0.366,42.1,13-9,10-16,8-2,W1,"Kawhi Leonard, James Harden",False
Los Angeles Lakers,98.7,118.0,118.0,0.569,13.5,24.9,0.405,0.0,0.25,0.37,40.7,12-8,17-11,5-5,L1,"Luka Dončić, Austin Reaves",False
Memphis Grizzlies,101.2,112.7,114.8,0.527,13.2,26.6,0.42,-2.1,0.202,0.359,45.1,9-15,8-13,2-8,L6,"Ty Jerome, Ja Morant",True
Miami Heat,104.3,114.5,113.3,0.534,12.1,24.9,0.392,1.2,0.208,0.352,47.3,16-9,11-15,6-4,W1,"Norman Powell, Tyler Herro",True
Milwaukee Bucks,98.4,113.2,117.2,0.566,13.3,20.0,0.437,-4.0,0.176,0.367,45.0,9-12,9-17,2-8,L5,"Giannis Antetokounmpo, Kevin Porter Jr.",False
Minnesota Timberwolves,100.8,117.6,112.5,0.563,12.7,26.1,0.427,5.1,0.216,0.35,43.2,17-8,14-11,5-5,W4,"Anthony Edwards, Julius Randle",True
